Make,Model,Price,Year,Kilometer,Fuel,Transmission,Location,Color,Owner,Seller,Engine,Power,Torque,Drivetrain,Length,Width,Height,Seats,Tank
Maruti Suzuki,Alto VXi,2000,2011,51000,Petrol,Manual,Mumbai,Orange,Second,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Hyundai,Xcent SX 1.1 CRDi (O),2000,2014,56000,Diesel,Manual,Delhi,White,Third,Individual,1120,71 bhp @ 4000 rpm,180 Nm @ 1750 rpm,FWD,3995,1660,1520,5,43
Maruti Suzuki,Alto 800 Lxi,2100,2014,42505,Petrol,Manual,Purnea,Red,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Hyundai,Eon Era +,2100,2014,48000,Petrol,Manual,Lucknow,Red,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Hyundai,Eon Sportz,2150,2012,20000,Petrol,Manual,Mumbai,Grey,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Maruti Suzuki,Wagon R LXi Minor,2180,2008,51000,Petrol,Manual,Coimbatore,Gold,Second,Individual,1061,67@6200,84@3500,FWD,3520,1475,1690,5,35
Hyundai,i10 Magna 1.2 Kappa2,2200,2011,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Hyundai,i10 Sportz 1.2,2200,2009,126535,Petrol,Manual,Hyderabad,Gold,First,Individual,1197,80@5200,111@4000,FWD,3565,1595,1550,5,35
Maruti Suzuki,Estilo LXi BS-IV,2200,2010,62000,Petrol,Manual,Bhopal,Brown,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3600,1475,1595,5,35
Skoda,Fabia Elegance 1.6 MPI,2250,2012,69000,Petrol,Manual,Mumbai,Silver,First,Individual,1598,105 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4000,1642,1522,5,45
Hyundai,Sonata 2.0 CRDi,2250,2009,140000,Diesel,Manual,Yamunanagar,Silver,Third,Individual,1991,142@4000,323@2000,FWD,4800,1832,1485,5,70
Hyundai,i10 Magna 1.1 LPG,2250,2014,47721,LPG,Manual,Patna,Red,First,Individual,1086,68 bhp @ 5500 rpm,99.08 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
Ford,Figo Duratorq Diesel ZXI 1.4,2250,2013,87000,Diesel,Manual,Mohali,Grey,First,Individual,1399,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795,1680,1427,5,45
Hyundai,i10 Era 1.1 iRDE2 [2010-2017],2250,2012,26000,Petrol,Manual,Dehradun,White,First,Individual,1086,68 bhp @ 5500 rpm,99.08 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
Hyundai,Eon Era +,2250,2012,56000,Petrol,Manual,Meerut,Grey,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Maruti Suzuki,Estilo VXi BS-IV,2299.99,2012,52000,Petrol,Manual,Pune,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3600,1495,1595,5,35
Maruti Suzuki,Swift DZire VXi,2299.99,2010,72000,Petrol,Manual,Kanpur,Silver,First,Individual,1298,87@6000,113@4500,FWD,4160,1690,1530,5,43
Chevrolet,Beat LT Diesel,2299.99,2011,41215,Diesel,Manual,Hyderabad,Silver,First,Individual,936,58 bhp @ 4000 rpm,150 Nm @ 1750 rpm,FWD,3640,1595,1520,5,35
Maruti Suzuki,Alto VXi,2340,2013,72600,Petrol,Manual,Panchkula,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Ford,Figo Duratorq Diesel ZXI 1.4,2350,2014,82000,Diesel,Manual,Ludhiana,White,Second,Individual,1399,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795,1680,1427,5,45
Maruti Suzuki,Wagon R LXi LPG,2350,2012,35000,LPG,Manual,Varanasi,Green,Second,Individual,998,46 bhp @ 6200 rpm,85 Nm @ 3500 rpm,FWD,3595,1475,1700,5,28
Hyundai,i10 Magna,2350,2009,107000,Petrol,Manual,Coimbatore,Grey,Third,Individual,1086,67@5500,99@2800,FWD,3565,1595,1550,5,35
Hyundai,Verna Fluidic 1.6 CRDi SX,2350,2011,135000,Diesel,Manual,Ambala Cantt,White,First,Individual,1582,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370,1700,1475,5,43
Datsun,Go D,2400,2017,42000,Petrol,Manual,Lucknow,White,First,Individual,1198,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD,3785,1635,1485,5,35
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],2400,2013,64000,Petrol,Manual,Faizabad,White,First,Individual,998,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32
Ford,Figo Duratorq Diesel Titanium 1.4,2400,2010,72000,Diesel,Manual,Hyderabad,White,First,Individual,1399,69@4000,160@2000,FWD,3795,1680,1427,5,45
Mahindra,Quanto C8,2400,2013,51500,Diesel,Manual,Kolkata,Maroon,Second,Individual,1493,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985,1850,1880,7,55
Ford,Figo Duratec Petrol ZXI 1.2,2400,2013,73000,Petrol,Manual,Thane,Silver,First,Individual,1196,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD,3795,1680,1427,5,45
Maruti Suzuki,Alto 800 Lxi,2450,2016,55000,Petrol,Manual,Faridabad,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto VXi,2450,2014,31100,Petrol,Manual,Jamshedpur,Maroon,Second,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Honda,City 1.5 V AT,2450,2010,95000,Petrol,Automatic,Gurgaon,Grey,Second,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Maruti Suzuki,Swift DZire VXi,2450,2009,114000,Petrol,Manual,Mumbai,Gold,First,Individual,1298,87@6000,113@4500,FWD,4160,1690,1530,5,43
Maruti Suzuki,Alto VXi [2014-2019],2450,2016,64000,Petrol,Manual,Ranchi,Silver,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545,1490,1475,5,35
Maruti Suzuki,Alto 800 Lxi CNG,2450,2015,72000,CNG,Manual,Faridabad,Silver,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Ritz Vxi (ABS) BS-IV,2450,2014,79000,Petrol,Manual,Faridabad,White,Second,Individual,1197,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD,3775,1680,1620,5,43
Maruti Suzuki,Alto 800 Lxi CNG,2490,2014,56843,CNG + CNG,Manual,Navi Mumbai,White,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Mahindra,Quanto C4,2490,2013,60000,Diesel,Manual,Kolkata,Red,First,Individual,1493,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985,1850,1880,7,55
Maruti Suzuki,Alto 800 Lxi,2500,2015,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Honda,CR-V 2.4 AT,2500,2006,119300,Petrol,Automatic,Pune,Black,Third,Individual,2354,152@6000,215@3600,AWD,4630,1780,1710,5,58
Honda,City 1.5 S MT,2500,2011,55000,Petrol,Manual,Kolkata,Silver,First,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Maruti Suzuki,Alto VXi,2500,2014,114000,Petrol,Manual,Aurangabad,White,Second,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Hyundai,i10 Magna 1.2 Kappa2,2500,2012,54556,Petrol,Manual,Lucknow,White,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Hyundai,Eon D-Lite +,2500,2014,25000,Petrol,Manual,Meerut,White,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Hyundai,i10 Magna 1.2 Kappa2,2500,2011,53000,Petrol,Manual,Kanpur,White,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Hyundai,i10 Sportz 1.2 Kappa2,2500,2011,64000,Petrol,Manual,Lucknow,Grey,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Honda,City 1.5 S AT,2500,2009,110000,Petrol,Automatic,Delhi,Grey,First,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Honda,City S Diesel,2500,2017,132683,Diesel,Manual,Kolkata,Bronze,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440,1695,1495,5,40
Hyundai,i10 Era 1.1 iRDE2 [2010-2017],2500,2012,48568,Petrol,Manual,Mumbai,White,First,Individual,1086,68 bhp @ 5500 rpm,99.08 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
Honda,City 1.5 S MT,2500,2009,72256,Petrol,Manual,Navi Mumbai,Black,First,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Renault,Kwid RXT [2015-2019],2500,2017,32000,Petrol,Manual,Kolkata,White,First,Individual,799,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679,1579,1478,5,28
Hyundai,Eon Sportz,2500,2013,82461,Petrol,Manual,Hyderabad,Red,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Datsun,Redigo T(O) 1.0,2500,2018,25000,Petrol,Manual,Kolkata,Grey,Second,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3429,1560,1541,5,28
Hyundai,i10 1.1L iRDE ERA Special Edition,2549.99,2012,18954,Petrol,Manual,Patna,White,First,Individual,1086,68 bhp @ 5500 rpm,99.081 Nm @ 4500 rpm,FWD,3585,1595,1550,5,35
Renault,Kwid RXT [2015-2019],2549.99,2016,57159,Petrol,Manual,Varanasi,Silver,First,Individual,799,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679,1579,1478,5,28
Hyundai,Santro GL Plus,2549.99,2012,17000,Petrol,Manual,Mohali,Silver,First,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
Maruti Suzuki,Celerio LXi,2600,2015,25862,Petrol,Manual,Kolkata,Blue,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600,1600,1560,5,35
Maruti Suzuki,Swift DZire VXi,2600,2009,77000,Petrol,Manual,Pune,Beige,Second,Individual,1298,87@6000,113@4500,FWD,4160,1690,1530,5,43
Maruti Suzuki,Alto VXi,2600,2012,54000,Petrol,Manual,Bangalore,Bronze,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Maruti Suzuki,Swift DZire VDI,2600,2011,90000,Diesel,Manual,Chandigarh,White,Second,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Toyota,Etios V,2650,2011,66000,Petrol,Manual,Delhi,Black,First,Individual,1496,80 bhp @ 5600 rpm,132 Nm @ 3000 rpm,FWD,4265,1695,1510,5,45
Maruti Suzuki,Alto 800 Lxi,2650,2017,52100,Petrol,Manual,Lucknow,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto 800 Lxi CNG,2650,2017,30000,CNG,Manual,Kanpur,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Renault,Kwid 1.0 RXT [2016-2019],2650,2016,122000,Petrol,Manual,Coimbatore,Red,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Honda,City 1.5 S MT,2690,2009,85000,Petrol,Manual,Mohali,White,Second,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Honda,City 1.5 V MT,2690,2010,73000,Petrol,Manual,Delhi,Silver,Second,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Maruti Suzuki,Alto VXi,2700,2014,54420,Petrol,Manual,Jamshedpur,Silver,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Ford,Figo Duratec Petrol Titanium 1.2,2700,2015,64000,Petrol,Manual,Pune,Grey,First,Individual,1196,70 bhp @ 6250 rpm,102 Nm @ 4000 rpm,FWD,3795,1680,1427,5,45
Hyundai,i10 Sportz 1.2,2700,2010,86000,Petrol,Manual,Chennai,Grey,Second,Individual,1197,80@5200,111@4000,FWD,3565,1595,1550,5,35
Datsun,Go T (O),2700,2017,27000,Petrol,Manual,Lucknow,Silver,First,Individual,1198,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD,3785,1635,1485,5,35
Maruti Suzuki,Alto VXi,2700,2014,82682,Petrol,Manual,Pune,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Hyundai,i10 Magna 1.2 Kappa2,2700,2012,41200,Petrol,Manual,Mumbai,Silver,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Hyundai,i10 Sportz 1.2 Kappa2,2750,2011,42000,Petrol,Manual,Pune,Grey,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],2750,2012,30000,Petrol,Manual,Indore,White,First,Individual,998,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515,1500,1510,5,32
Hyundai,Santro GL (CNG),2750,2013,76000,CNG,Manual,Delhi,White,First,Individual,1086,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35
Maruti Suzuki,Wagon R LXi LPG,2750,2011,42000,LPG,Manual,Bhopal,White,Second,Individual,998,46 bhp @ 6200 rpm,85 Nm @ 3500 rpm,FWD,3595,1475,1700,5,28
Honda,City 1.5 S MT,2750,2009,80000,Petrol,Manual,Mohali,Grey,First,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Maruti Suzuki,Ritz Vdi BS-IV,2750,2013,85785,Diesel,Manual,Ambala Cantt,Silver,Second,Individual,1248,73 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3775,1680,1620,5,43
Hyundai,Eon Sportz,2750,2013,34000,Petrol,Manual,Pune,Blue,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Maruti Suzuki,Swift DZire VDI,2750,2011,65000,Diesel,Manual,Allahabad,White,First,Individual,1248,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42
Hyundai,Eon D-Lite +,2750,2014,83000,Petrol,Manual,Ahmedabad,White,Second,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Renault,Duster 85 PS RxL Diesel,2800,2013,99000,Diesel,Manual,Faridabad,White,Second,Individual,1461,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,4315,1822,1695,5,50
Maruti Suzuki,Alto 800 Lxi,2800,2018,48000,Petrol,Manual,Kanpur,Silver,Second,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto LXi,2800,2011,69276,Petrol,Manual,Hyderabad,Gold,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35
Maruti Suzuki,Alto 800 Lxi,2850,2017,45600,Petrol,Manual,Jamshedpur,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Ford,Ecosport Trend 1.5 TDCi,2850,2013,72000,Diesel,Manual,Faridabad,Silver,First,Individual,1498,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999,1765,1708,5,52
Maruti Suzuki,Alto 800 Vxi,2850,2016,22346,Petrol,Manual,Patna,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto 800 Lxi,2850,2016,17000,Petrol,Manual,Lucknow,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto 800 Lxi,2860,2017,40564,Petrol,Manual,Jamshedpur,Silver,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Maruti Suzuki,Alto 800 Lxi CNG,2890,2015,78000,CNG,Manual,Mumbai,White,First,Individual,796,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Hyundai,Eon Era +,2900,2018,70000,Petrol,Manual,Kheda,White,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Hyundai,i10 Magna 1.2 Kappa2,2900,2011,91000,Petrol,Manual,Ahmedabad,White,First,Individual,1197,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35
Maruti Suzuki,Swift VDi BS-IV,2950,2011,87230,Diesel,Manual,Hyderabad,Silver,First,Individual,1248,75@4000,190@2000,FWD,3760,1690,1530,5,43
Honda,City 1.5 S AT,2950,2009,70200,Petrol,Automatic,Mumbai,Grey,Second,Individual,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Honda,City 1.5 S MT,2950,2010,78000,Petrol,Manual,Zirakpur,White,First,Corporate,1497,118@6600,146@4600,FWD,4420,1695,1480,5,42
Honda,Amaze 1.5 S i-DTEC,2950,2014,62500,Diesel,Manual,Varanasi,Bronze,First,Individual,1498,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990,1680,1505,5,35
Ford,Fiesta Style Diesel [2011-2014],2950,2013,74000,Diesel,Manual,Hyderabad,Maroon,First,Individual,1498,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,4291,1722,1496,5,43
Maruti Suzuki,Swift DZire LXi,2950,2010,33000,Petrol,Manual,Mumbai,Grey,First,Individual,1298,87@6000,113@4500,FWD,4160,1690,1530,5,43
Maruti Suzuki,Swift VDi,2950,2009,185000,Diesel,Manual,Coimbatore,Grey,First,Individual,1248,75@4000,190@2000,FWD,3760,1690,1530,5,43
Renault,Kwid 1.0 RXT [2016-2019],2950,2016,34736,Petrol,Manual,Hyderabad,Red,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Maruti Suzuki,Alto VXi [2014-2019],2950,2015,31000,Petrol,Manual,Patna,White,First,Individual,998,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545,1490,1475,5,35
Maruti Suzuki,SX4 ZDI,2970,2013,84000,Diesel,Manual,Delhi,White,First,Individual,1248,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490,1735,1560,5,50
Ford,Figo Duratorq Diesel Titanium 1.4,2990,2013,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3795,1680,1427,5,45
Renault,Kwid 1.0 RXT [2016-2019],2990,2016,26000,Petrol,Manual,Mumbai,Brown,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Maruti Suzuki,Wagon R VXI+,2990,2013,46000,Petrol,Manual,Varanasi,White,First,Individual,998,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636,1475,1670,5,35
Maruti Suzuki,Alto 800 Lx CNG,2990,2017,45000,CNG,Manual,Pune,Silver,First,Individual,796,48 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35
Toyota,Etios GD,2990,2013,90000,Diesel,Manual,Bulandshahar,Blue,Third,Individual,1364,68 bhp @ 3600 rpm,170 Nm @ 2400 rpm,FWD,4265,1695,1510,5,45
Maruti Suzuki,Wagon R LXI CNG (O),2990,2015,92000,CNG,Manual,Mumbai,Brown,Second,Individual,998,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35
Maruti Suzuki,Swift VXi,2990,2013,47000,Petrol,Manual,Kolkata,Silver,First,Individual,1197,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42
Maruti Suzuki,Celerio LDi [2015-2017],2990,2017,65822,Diesel,Manual,Lucknow,Silver,First,Individual,793,46 bhp @ 3500 rpm,125 Nm @ 2000 rpm,FWD,3600,1600,1560,5,35
Renault,Kwid 1.0 RXT [2016-2019],2990,2018,19000,Petrol,Manual,Kolkata,Red,First,Individual,999,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28
Chevrolet,Sail Sedan 1.2 LS,2990,2014,32000,Petrol,Manual,Dehradun,Silver,First,Individual,1199,85 bhp @ 6000 rpm,113 Nm @ 5000 rpm,FWD,4249,1690,1503,5,42
Hyundai,Eon Era +,3000,2018,51000,Petrol,Manual,Kanpur,White,First,Individual,814,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32
Toyota,Etios GD,3000,2013,75000,Diesel,Manual,Kanpur,Silver,Second,Individual,1364,68 bhp @ 3600 rpm,170 Nm @ 2400 rpm,FWD,4265,1695,1510,5,45
Honda,Civic 1.8V MT,3000,2010,83359,Petrol,Manual,Mumbai,White,First,Individual,1799,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,FWD,4545,1750,1450,5,50
Toyota,Etios V,3000,2011,49200,Petrol,Manual,Mumbai,Silver,First,Individual,1496,80 bhp @ 5600 rpm,132 Nm @ 3000 rpm,FWD,4265,1695,1510,5,45
Hyundai,i20 Magna 1.2,3000,2014,40000,Petrol,Manual,Kolkata,Silver,First,Individual,1197,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995,1710,1505,5,45
